CMDLINE C:\Users\Vivian\anaconda3\python.exe .\test_memoryLeak.py
MEM 1.511719 1655270782.5457
MEM 17.191406 1655270782.6574
MEM 26.234375 1655270782.7651
MEM 33.566406 1655270782.8749
MEM 40.050781 1655270782.9836
MEM 53.105469 1655270783.0923
MEM 58.054688 1655270783.2010
MEM 61.750000 1655270783.3081
MEM 64.246094 1655270783.4162
MEM 66.289062 1655270783.5251
MEM 67.238281 1655270783.6338
MEM 67.937500 1655270783.7425
MEM 75.832031 1655270783.8522
MEM 77.332031 1655270783.9609
MEM 77.402344 1655270784.0706
MEM 77.457031 1655270784.1793
MEM 77.457031 1655270784.2871
MEM 86.003906 1655270784.3947
MEM 87.824219 1655270784.5030
MEM 89.703125 1655270784.6127
MEM 90.289062 1655270784.7224
MEM 92.078125 1655270784.8316
MEM 36.781250 1655270784.9458
