CMDLINE C:\Users\Vivian\anaconda3\python.exe .\test_memoryLeak.py
MEM 1.609375 1655271507.3210
MEM 16.066406 1655271507.4286
MEM 25.312500 1655271507.5371
MEM 31.324219 1655271507.6464
MEM 38.917969 1655271507.7539
MEM 49.039062 1655271507.8633
MEM 57.875000 1655271507.9710
MEM 61.054688 1655271508.0814
MEM 63.492188 1655271508.1901
MEM 66.359375 1655271508.2988
MEM 67.613281 1655271508.4075
MEM 68.246094 1655271508.5162
MEM 70.414062 1655271508.6229
MEM 77.285156 1655271508.7315
MEM 77.351562 1655271508.8392
MEM 77.406250 1655271508.9469
MEM 77.406250 1655271509.0556
MEM 82.968750 1655271509.1633
MEM 87.406250 1655271509.2730
MEM 89.628906 1655271509.3828
MEM 89.972656 1655271509.4915
MEM 92.394531 1655271509.6002
MEM 91.261719 1655271509.7099
MEM 91.285156 1655271509.8196
MEM 91.496094 1655271509.9283
MEM 91.582031 1655271510.0360
MEM 91.800781 1655271510.1437
MEM 91.800781 1655271510.2534
MEM 91.851562 1655271510.3611
MEM 91.886719 1655271510.4689
MEM 91.992188 1655271510.5776
MEM 91.992188 1655271510.6853
MEM 91.992188 1655271510.7920
MEM 92.125000 1655271510.8997
MEM 93.582031 1655271511.0084
MEM 92.460938 1655271511.1182
MEM 92.460938 1655271511.2268
MEM 92.460938 1655271511.3365
MEM 92.460938 1655271511.4442
MEM 92.507812 1655271511.5529
MEM 92.507812 1655271511.6607
MEM 92.632812 1655271511.7684
MEM 92.757812 1655271511.8781
MEM 92.847656 1655271511.9878
MEM 92.847656 1655271512.0955
MEM 92.882812 1655271512.2042
MEM 93.035156 1655271512.3129
MEM 93.445312 1655271512.4217
MEM 93.453125 1655271512.5303
MEM 93.460938 1655271512.6391
MEM 93.585938 1655271512.7477
MEM 93.585938 1655271512.8575
MEM 93.656250 1655271512.9662
MEM 93.656250 1655271513.0749
MEM 93.656250 1655271513.1816
MEM 93.718750 1655271513.2913
MEM 93.878906 1655271513.4000
MEM 93.878906 1655271513.5078
MEM 93.878906 1655271513.6174
MEM 93.890625 1655271513.7261
MEM 95.082031 1655271513.8349
MEM 93.906250 1655271513.9436
MEM 93.906250 1655271514.0523
MEM 94.003906 1655271514.1600
MEM 94.128906 1655271514.2690
MEM 94.210938 1655271514.3777
MEM 94.210938 1655271514.4864
MEM 94.214844 1655271514.5960
MEM 94.214844 1655271514.7047
MEM 94.238281 1655271514.8135
MEM 94.238281 1655271514.9221
MEM 94.238281 1655271515.0299
MEM 94.425781 1655271515.1386
MEM 94.484375 1655271515.2473
MEM 94.816406 1655271515.3560
MEM 94.816406 1655271515.4637
MEM 94.867188 1655271515.5734
MEM 95.007812 1655271515.6821
MEM 95.101562 1655271515.7918
MEM 95.101562 1655271515.8996
MEM 95.101562 1655271516.0093
MEM 95.183594 1655271516.1190
MEM 95.281250 1655271516.2277
MEM 95.281250 1655271516.3364
MEM 95.281250 1655271516.4459
MEM 95.281250 1655271516.5556
MEM 95.406250 1655271516.6643
MEM 95.496094 1655271516.7740
MEM 95.496094 1655271516.8827
MEM 94.207031 1655271516.9912
MEM 94.265625 1655271517.1009
MEM 94.628906 1655271517.2086
MEM 94.656250 1655271517.3163
MEM 94.687500 1655271517.4250
MEM 94.699219 1655271517.5347
MEM 94.699219 1655271517.6435
MEM 94.746094 1655271517.7532
MEM 94.746094 1655271517.8619
MEM 94.781250 1655271517.9706
MEM 94.781250 1655271518.0803
MEM 94.781250 1655271518.1880
MEM 94.781250 1655271518.2967
MEM 94.781250 1655271518.4045
MEM 94.781250 1655271518.5142
MEM 94.816406 1655271518.6238
MEM 94.832031 1655271518.7326
MEM 94.832031 1655271518.8413
MEM 94.832031 1655271518.9490
MEM 94.832031 1655271519.0587
MEM 94.855469 1655271519.1674
MEM 94.855469 1655271519.2741
MEM 94.890625 1655271519.3828
MEM 94.890625 1655271519.4925
MEM 94.890625 1655271519.6012
MEM 94.890625 1655271519.7100
MEM 94.906250 1655271519.8187
MEM 94.906250 1655271519.9274
MEM 94.914062 1655271520.0361
MEM 94.929688 1655271520.1448
MEM 94.929688 1655271520.2535
MEM 94.929688 1655271520.3617
MEM 94.929688 1655271520.4684
MEM 94.929688 1655271520.5771
