modelName,score,rmse,spendTime,executionTime,random_seed,Dense1Units,Dense2Units,Dense3Units,Dense4Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size
rmseBeyond5,24459.1796875,156.39431297068882,49.12305331230164,2022/04/09 17:22:10,0,256,256.0,256.0,256.0,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,20
rmseBeyond5,9288.6591796875,96.37768392510841,46.86642813682556,2022/04/09 17:26:27,3,256,256.0,256.0,256.0,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,20
rmseBeyond5,9288.6591796875,96.37768392510841,50.23054313659668,2022/04/09 17:49:35,3,256,256.0,256.0,256.0,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,20
rmseBeyond5,9288.6591796875,96.37768392510841,48.85305309295654,2022/04/09 17:50:24,3,256,256.0,256.0,256.0,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,20
rmseBeyond5,146951.5625,383.3426197668049,0.7523217201232909,2022/04/09 17:51:53,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,1
rmseBeyond5,149322.890625,386.42318481750016,0.5919613838195801,2022/04/09 17:51:53,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,11
rmseBeyond5,149438.6875,386.57299461878404,0.5948545932769775,2022/04/09 17:51:54,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,21
rmseBeyond5,149478.046875,386.62387997788727,0.5779681205749512,2022/04/09 17:51:55,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,31
rmseBeyond5,149500.03125,386.65233613928393,0.7185454368591309,2022/04/09 17:51:55,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,41
rmseBeyond5,149510.125,386.6654038209583,0.565129280090332,2022/04/09 17:51:56,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,51
rmseBeyond5,149516.8125,386.67401705362886,0.5674471855163574,2022/04/09 17:51:56,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,61
rmseBeyond5,149524.53125,386.68404508459776,0.5926530361175537,2022/04/09 17:51:57,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,71
rmseBeyond5,149527.671875,386.6880714358857,0.5690326690673828,2022/04/09 17:51:58,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,81
rmseBeyond5,149531.296875,386.69275920260003,0.5765118598937988,2022/04/09 17:51:58,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,91
rmseBeyond5,149535.296875,386.6979694363482,0.7000744342803955,2022/04/09 17:51:59,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,101
rmseBeyond5,149539.5,386.70337037126836,0.5655121803283691,2022/04/09 17:52:00,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,111
rmseBeyond5,149538.53125,386.7021171923385,0.5682394504547119,2022/04/09 17:52:00,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,121
rmseBeyond5,149543.15625,386.70807705387534,0.564380407333374,2022/04/09 17:52:01,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,131
rmseBeyond5,149542.46875,386.70722614817635,0.56719970703125,2022/04/09 17:52:01,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,141
rmseBeyond5,149547.046875,386.71312819705383,0.572066068649292,2022/04/09 17:52:02,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,151
rmseBeyond5,149546.765625,386.71274412320366,0.569429874420166,2022/04/09 17:52:02,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,161
rmseBeyond5,149546.28125,386.71215929345595,0.7179567813873291,2022/04/09 17:52:03,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,171
rmseBeyond5,149545.703125,386.7114199982576,0.5712034702301025,2022/04/09 17:52:04,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,181
rmseBeyond5,149550.65625,386.717812241994,0.5681021213531494,2022/04/09 17:52:04,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,191
rmseBeyond5,149550.53125,386.71761899586716,0.5758557319641113,2022/04/09 17:52:05,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,201
rmseBeyond5,149550.328125,386.71737558581293,0.5781843662261963,2022/04/09 17:52:06,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,211
rmseBeyond5,149550.0625,386.71701630286867,0.56905198097229,2022/04/09 17:52:06,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,221
rmseBeyond5,149549.734375,386.7165955291434,0.6963362693786621,2022/04/09 17:52:07,0,1,1.0,1.0,1.0,1e-05,1e-05,0.01,True,sgd,mean_squared_error,1,0,231
