PublishDate,Score,Anti-Score,FinalScore
2017-06-13,68.0,0.0,68.0
2017-06-14,134.0,0.0,134.0
2017-06-15,159.0,0.0,159.0
2017-06-16,212.0,0.0,212.0
2017-06-17,0.0,0.0,0.0
2017-06-18,85.0,5.0,85.0
2017-06-19,331.0,0.0,331.0
2017-06-20,896.0,0.0,896.0
2017-06-21,196.0,0.0,196.0
2017-06-22,188.0,4.0,188.0
2017-06-23,544.0,0.0,544.0
2017-06-24,170.0,0.0,170.0
2017-06-25,77.0,0.0,77.0
2017-06-26,1222.0,10.0,1222.0
2017-06-27,337.0,12.0,337.0
2017-06-28,55.0,51.0,55.0
2017-06-29,292.0,0.0,292.0
2017-06-30,-114.0,0.0,-114.0
2017-07-01,0.0,0.0,0.0
2017-07-02,0.0,0.0,0.0
2017-07-03,710.0,0.0,710.0
2017-07-04,114.0,0.0,114.0
2017-07-05,240.0,2.0,240.0
2017-07-06,32.0,0.0,32.0
2017-07-07,68.0,0.0,68.0
2017-07-08,0.0,0.0,0.0
2017-07-09,85.0,0.0,85.0
2017-07-10,364.0,0.0,364.0
2017-07-11,739.0,2.0,739.0
2017-07-12,457.0,0.0,457.0
2017-07-13,596.0,0.0,596.0
2017-07-14,647.0,0.0,647.0
2017-07-15,79.0,0.0,79.0
2017-07-16,-26.0,26.0,-26.0
2017-07-17,446.0,0.0,446.0
2017-07-18,265.0,12.0,265.0
2017-07-19,264.0,0.0,264.0
2017-07-20,129.0,12.0,129.0
2017-07-21,8.0,0.0,8.0
2017-07-22,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0
2017-07-24,70.0,8.0,70.0
2017-07-25,229.0,4.0,229.0
2017-07-26,96.0,0.0,96.0
2017-07-27,176.0,22.0,176.0
2017-07-28,-100.0,0.0,-100.0
2017-07-29,75.0,0.0,75.0
2017-07-30,-30.0,30.0,-30.0
2017-07-31,436.0,-20.0,436.0
2017-08-01,356.0,0.0,356.0
2017-08-02,704.0,0.0,704.0
2017-08-03,308.0,8.0,308.0
2017-08-04,492.0,0.0,492.0
2017-08-05,0.0,0.0,0.0
2017-08-06,66.0,2.0,66.0
2017-08-07,352.0,1.0,352.0
2017-08-08,184.0,0.0,184.0
2017-08-09,-46.0,0.0,-46.0
2017-08-10,118.0,0.0,118.0
2017-08-11,129.0,0.0,129.0
2017-08-12,0.0,0.0,0.0
2017-08-13,-2.0,2.0,-2.0
2017-08-14,22.0,10.0,22.0
2017-08-15,231.0,0.0,231.0
2017-08-16,4.0,4.0,4.0
2017-08-17,113.0,0.0,113.0
2017-08-18,90.0,0.0,90.0
2017-08-19,0.0,0.0,0.0
2017-08-20,-14.0,14.0,-14.0
2017-08-21,81.0,14.0,81.0
2017-08-22,469.0,0.0,469.0
