PublishDate,Score
2017-12-09,91
2017-12-10,0
2017-12-11,384
2017-12-12,1
2017-12-13,686
2017-12-14,1058
2017-12-15,-591
2017-12-16,0
2017-12-17,0
2017-12-18,795
2017-12-19,133
2017-12-20,498
2017-12-21,13
2017-12-22,573
2017-12-23,30
2017-12-24,0
2017-12-25,-275
2017-12-26,-125
2017-12-27,882
2017-12-28,1413
2017-12-29,3516
2017-12-30,528
2017-12-31,0
2018-01-01,0
2018-01-02,6248
2018-01-03,3120
2018-01-04,1668
2018-01-05,1040
2018-01-06,0
2018-01-07,291
2018-01-08,1951
2018-01-09,505
2018-01-10,655
2018-01-11,-106
2018-01-12,1708
2018-01-13,0
2018-01-14,0
2018-01-15,1757
2018-01-16,746
2018-01-17,1027
2018-01-18,612
2018-01-19,2066
2018-01-20,1530
2018-01-21,5
2018-01-22,3753
2018-01-23,910
2018-01-24,861
2018-01-25,1380
2018-01-26,661
2018-01-27,50
2018-01-28,0
2018-01-29,1195
2018-01-30,159
2018-01-31,2264
2018-02-01,1178
2018-02-02,1292
2018-02-03,0
2018-02-04,0
2018-02-05,-181
2018-02-06,-102
2018-02-07,882
2018-02-08,-170
2018-02-09,-70
2018-02-10,15
2018-02-11,0
2018-02-12,1792
2018-02-13,173
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,750
2018-02-22,87
2018-02-23,924
2018-02-24,0
2018-02-25,0
2018-02-26,2404
2018-02-27,564
2018-02-28,0
2018-03-01,610
2018-03-02,-64
2018-03-03,0
2018-03-04,0
2018-03-05,189
2018-03-06,643
2018-03-07,37
2018-03-08,784
2018-03-09,589
2018-03-10,89
2018-03-11,78
2018-03-12,1936
2018-03-13,1206
2018-03-14,704
2018-03-15,218
2018-03-16,542
2018-03-17,0
2018-03-18,0
2018-03-19,762
2018-03-20,327
2018-03-21,364
2018-03-22,548
2018-03-23,-441
2018-03-24,0
2018-03-25,0
2018-03-26,264
2018-03-27,1536
2018-03-28,68
2018-03-29,88
2018-03-30,1244
2018-03-31,734
2018-04-01,0
2018-04-02,490
2018-04-03,-810
2018-04-04,54
2018-04-05,0
2018-04-06,0
2018-04-07,0
2018-04-08,198
2018-04-09,297
2018-04-10,830
2018-04-11,648
2018-04-12,-16
2018-04-13,360
2018-04-14,30
2018-04-15,0
2018-04-16,992
2018-04-17,364
2018-04-18,547
2018-04-19,274
2018-04-20,-449
2018-04-21,138
2018-04-22,0
2018-04-23,-209
2018-04-24,-94
2018-04-25,-122
2018-04-26,375
2018-04-27,484
2018-04-28,0
2018-04-29,0
2018-04-30,0
2018-05-01,0
2018-05-02,1746
2018-05-03,-414
2018-05-04,656
2018-05-05,0
2018-05-06,0
2018-05-07,961
2018-05-08,810
2018-05-09,841
2018-05-10,709
2018-05-11,871
2018-05-12,0
2018-05-13,0
2018-05-14,1012
2018-05-15,689
2018-05-16,1213
2018-05-17,170
2018-05-18,165
2018-05-19,0
2018-05-20,0
2018-05-21,1423
2018-05-22,1538
2018-05-23,177
2018-05-24,-45
2018-05-25,268
2018-05-26,0
2018-05-27,0
2018-05-28,451
2018-05-29,3
2018-05-30,-314
2018-05-31,618
2018-06-01,1214
2018-06-02,0
2018-06-03,188
2018-06-04,5570
2018-06-05,603
2018-06-06,2042
2018-06-07,514
2018-06-08,829
2018-06-09,0
2018-06-10,0
2018-06-11,607
2018-06-12,510
2018-06-13,788
2018-06-14,-254
2018-06-15,452
2018-06-16,0
2018-06-17,0
2018-06-18,64
2018-06-19,-292
2018-06-20,-45
2018-06-21,381
2018-06-22,-183
2018-06-23,-50
2018-06-24,-4
2018-06-25,75
2018-06-26,-288
2018-06-27,-189
2018-06-28,-48
2018-06-29,2546
2018-06-30,44
2018-07-01,0
2018-07-02,1858
2018-07-03,356
2018-07-04,88
2018-07-05,58
2018-07-06,0
2018-07-07,0
2018-07-08,0
2018-07-09,0
2018-07-10,0
2018-07-11,0
2018-07-12,0
2018-07-13,521
2018-07-14,618
2018-07-15,257
2018-07-16,1174
2018-07-17,100
2018-07-18,707
2018-07-19,121
2018-07-20,2234
2018-07-21,618
2018-07-22,226
2018-07-23,1072
2018-07-24,963
2018-07-25,253
2018-07-26,1378
2018-07-27,1094
2018-07-28,0
2018-07-29,0
2018-07-30,472
2018-07-31,916
2018-08-01,2448
2018-08-02,-124
2018-08-03,1886
2018-08-04,298
2018-08-05,419
2018-08-06,262
2018-08-07,183
2018-08-08,1282
2018-08-09,498
2018-08-10,165
2018-08-11,303
2018-08-12,0
2018-08-13,-261
2018-08-14,632
2018-08-15,132
2018-08-16,255
2018-08-17,137
2018-08-18,0
2018-08-19,0
2018-08-20,35
2018-08-21,978
2018-08-22,352
2018-08-23,630
2018-08-24,261
2018-08-25,0
2018-08-26,0
2018-08-27,1009
2018-08-28,1209
2018-08-29,1910
2018-08-30,2074
2018-08-31,1240
2018-09-01,1406
2018-09-02,878
2018-09-03,1584
2018-09-04,1346
2018-09-05,559
2018-09-06,442
2018-09-07,-79
2018-09-08,0
2018-09-09,216
2018-09-10,185
2018-09-11,337
2018-09-12,133
2018-09-13,406
2018-09-14,684
2018-09-15,0
2018-09-16,270
2018-09-17,-15
2018-09-18,-397
2018-09-19,1363
2018-09-20,205
2018-09-21,930
2018-09-22,0
2018-09-23,0
2018-09-24,0
2018-09-25,116
2018-09-26,424
2018-09-27,1626
2018-09-28,690
2018-09-29,0
2018-09-30,0
2018-10-01,1156
2018-10-02,614
2018-10-03,106
2018-10-04,-614
2018-10-05,-467
2018-10-06,0
2018-10-07,-9
2018-10-08,103
2018-10-09,303
2018-10-10,331
2018-10-11,-325
2018-10-12,1035
2018-10-13,0
2018-10-14,0
2018-10-15,356
2018-10-16,246
2018-10-17,1092
2018-10-18,-11
2018-10-19,-41
2018-10-20,6
2018-10-21,-32
2018-10-22,213
2018-10-23,-158
2018-10-24,-212
2018-10-25,-226
2018-10-26,133
2018-10-27,0
2018-10-28,0
2018-10-29,137
2018-10-30,443
2018-10-31,3854
2018-11-01,1796
2018-11-02,2114
2018-11-03,-4
2018-11-04,0
2018-11-05,337
2018-11-06,263
2018-11-07,733
2018-11-08,500
2018-11-09,-41
2018-11-10,105
2018-11-11,0
2018-11-12,1069
2018-11-13,462
2018-11-14,567
2018-11-15,196
2018-11-16,124
2018-11-17,0
2018-11-18,17
2018-11-19,822
2018-11-20,-31
2018-11-21,613
2018-11-22,228
2018-11-23,259
2018-11-24,0
2018-11-25,0
2018-11-26,1485
2018-11-27,389
2018-11-28,624
2018-11-29,1600
2018-11-30,746
2018-12-01,0
2018-12-02,0
2018-12-03,3502
2018-12-04,936
2018-12-05,-137
2018-12-06,-56
2018-12-07,767
2018-12-08,0
2018-12-09,0
2018-12-10,-475
2018-12-11,727
2018-12-12,992
2018-12-13,572
2018-12-14,-110
2018-12-15,75
2018-12-16,-115
2018-12-17,117
2018-12-18,-187
2018-12-19,686
2018-12-20,79
2018-12-21,590
2018-12-22,15
2018-12-23,0
2018-12-24,601
2018-12-25,-312
2018-12-26,-28
2018-12-27,3223
2018-12-28,330
2018-12-29,16
2018-12-30,0
2018-12-31,0
2019-01-01,1048
2019-01-02,150
2019-01-03,820
2019-01-04,-864
2019-01-05,0
2019-01-06,-36
2019-01-07,1151
2019-01-08,566
2019-01-09,1620
2019-01-10,188
2019-01-11,899
2019-01-12,-29
2019-01-13,385
2019-01-14,1220
2019-01-15,633
2019-01-16,27
2019-01-17,146
2019-01-18,1126
2019-01-19,-2
2019-01-20,39
2019-01-21,1159
2019-01-22,719
2019-01-23,9
2019-01-24,986
2019-01-25,1288
2019-01-26,73
2019-01-27,0
2019-01-28,2361
2019-01-29,177
2019-01-30,184
