PublishDate,Score
2017-12-17,0
2017-12-18,143
2017-12-19,-76
2017-12-20,211
2017-12-21,208
2017-12-22,322
2017-12-23,117
2017-12-24,11
2017-12-25,6
2017-12-26,-57
2017-12-27,221
2017-12-28,327
2017-12-29,1214
2017-12-30,150
2017-12-31,0
2018-01-01,0
2018-01-02,1662
2018-01-03,1362
2018-01-04,340
2018-01-05,193
2018-01-06,0
2018-01-07,81
2018-01-08,354
2018-01-09,18
2018-01-10,494
2018-01-11,193
2018-01-12,294
2018-01-13,0
2018-01-14,0
2018-01-15,465
2018-01-16,203
2018-01-17,413
2018-01-18,956
2018-01-19,1028
2018-01-20,881
2018-01-21,45
2018-01-22,1623
2018-01-23,446
2018-01-24,482
2018-01-25,364
2018-01-26,513
2018-01-27,406
2018-01-28,44
2018-01-29,622
2018-01-30,63
2018-01-31,704
2018-02-01,462
2018-02-02,396
2018-02-03,0
2018-02-04,0
2018-02-05,-64
2018-02-06,167
2018-02-07,171
2018-02-08,155
2018-02-09,-91
2018-02-10,26
2018-02-11,0
2018-02-12,367
2018-02-13,105
2018-02-14,3
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,110
2018-02-22,40
2018-02-23,225
2018-02-24,0
2018-02-25,0
2018-02-26,541
2018-02-27,36
2018-02-28,0
2018-03-01,316
2018-03-02,-80
2018-03-03,0
2018-03-04,0
2018-03-05,181
2018-03-06,245
2018-03-07,152
2018-03-08,375
2018-03-09,186
2018-03-10,106
2018-03-11,20
2018-03-12,505
2018-03-13,195
2018-03-14,251
2018-03-15,79
2018-03-16,79
2018-03-17,0
2018-03-18,0
2018-03-19,289
2018-03-20,142
2018-03-21,107
2018-03-22,41
2018-03-23,-154
2018-03-24,0
2018-03-25,0
2018-03-26,168
2018-03-27,395
2018-03-28,84
2018-03-29,-74
2018-03-30,702
2018-03-31,172
2018-04-01,0
2018-04-02,206
2018-04-03,186
2018-04-04,88
2018-04-05,0
2018-04-06,0
2018-04-07,0
2018-04-08,45
2018-04-09,52
2018-04-10,402
2018-04-11,203
2018-04-12,-14
2018-04-13,161
2018-04-14,96
2018-04-15,0
2018-04-16,262
2018-04-17,82
2018-04-18,157
2018-04-19,262
2018-04-20,-84
2018-04-21,-35
2018-04-22,0
2018-04-23,-75
2018-04-24,-20
2018-04-25,-68
2018-04-26,51
2018-04-27,230
2018-04-28,0
2018-04-29,0
2018-04-30,0
2018-05-01,0
2018-05-02,672
2018-05-03,60
2018-05-04,270
2018-05-05,0
2018-05-06,0
2018-05-07,260
2018-05-08,423
2018-05-09,128
2018-05-10,294
2018-05-11,204
2018-05-12,0
2018-05-13,0
2018-05-14,243
2018-05-15,146
2018-05-16,456
2018-05-17,128
2018-05-18,17
2018-05-19,0
2018-05-20,0
2018-05-21,451
2018-05-22,423
2018-05-23,132
2018-05-24,313
2018-05-25,79
2018-05-26,5
2018-05-27,0
2018-05-28,65
2018-05-29,3
2018-05-30,-178
2018-05-31,4
2018-06-01,388
2018-06-02,0
2018-06-03,258
2018-06-04,1422
2018-06-05,354
2018-06-06,453
2018-06-07,76
2018-06-08,-16
2018-06-09,0
2018-06-10,0
2018-06-11,79
2018-06-12,324
2018-06-13,264
2018-06-14,26
2018-06-15,236
2018-06-16,0
2018-06-17,0
2018-06-18,35
2018-06-19,-18
2018-06-20,75
2018-06-21,287
2018-06-22,50
2018-06-23,-5
2018-06-24,-5
2018-06-25,-43
2018-06-26,-263
2018-06-27,-2
2018-06-28,23
2018-06-29,626
2018-06-30,22
2018-07-01,0
2018-07-02,410
2018-07-03,332
2018-07-04,256
2018-07-05,104
2018-07-06,0
2018-07-07,0
2018-07-08,0
2018-07-09,0
2018-07-10,0
2018-07-11,0
2018-07-12,0
2018-07-13,158
2018-07-14,224
2018-07-15,86
2018-07-16,148
2018-07-17,-25
2018-07-18,277
2018-07-19,453
2018-07-20,1034
2018-07-21,248
2018-07-22,67
2018-07-23,532
2018-07-24,255
2018-07-25,40
2018-07-26,311
2018-07-27,474
2018-07-28,0
2018-07-29,0
2018-07-30,408
2018-07-31,48
2018-08-01,1132
2018-08-02,16
2018-08-03,460
2018-08-04,100
2018-08-05,72
2018-08-06,55
2018-08-07,11
2018-08-08,436
2018-08-09,91
2018-08-10,58
