modelName,score,rmse,spendTime,executionTime(s),startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size
keras_4_24959.h5,18.059181213378906,4.249596159695558,164.59291911125186,2022/06/13 18:42:18,2021-12-15,2021-12-29,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,54776.25,234.04324487131282,27.99187397956848,2022/06/13 23:42:25,2020-12-17,2021-01-03,200,4,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
keras_4_34457.h5,18.875228881835934,4.344570423938095,90.76586675643921,2022/06/13 23:43:55,2020-12-17,2021-01-03,200,4,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,55049.48828125,234.62624819172996,41.63978600502014,2022/06/13 23:44:37,2020-12-17,2021-01-03,200,4,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
keras_4_51028.h5,20.342571258544922,4.510281283413313,135.5981514453888,2022/06/13 23:46:53,2020-12-17,2021-01-03,200,4,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,55310.2578125,235.18132008631198,60.113077640533454,2022/06/13 23:47:53,2020-12-17,2021-01-03,200,4,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,0
keras_4_45881.h5,19.88107681274414,4.45881918557529,177.34474873542786,2022/06/13 23:50:50,2020-12-17,2021-01-03,200,4,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,10
rmseBeyond8,49203.69921875,221.8190418758571,30.322747468948364,2022/06/13 23:51:20,2020-12-17,2021-01-03,200,4,40,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
keras_7_48389.h5,56.00851440429688,7.483899265676262,90.74099016189577,2022/06/13 23:52:51,2020-12-17,2021-01-03,200,4,40,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,49320.36328125,222.08190787499686,46.66248154640198,2022/06/13 23:53:38,2020-12-17,2021-01-03,200,4,40,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond8,68.20587158203125,8.258702252172966,133.4999399185181,2022/06/13 23:55:51,2020-12-17,2021-01-03,200,4,40,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,49436.8203125,222.34396056049926,61.77196216583252,2022/06/13 23:56:53,2020-12-17,2021-01-03,200,4,40,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,0
keras_7_02128.h5,49.29835891723633,7.021288377350137,178.388818025589,2022/06/13 23:59:52,2020-12-17,2021-01-03,200,4,40,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,10
rmseBeyond8,57796.70703125,240.4094790010501,32.84574604034424,2022/06/14 00:00:24,2020-12-17,2021-01-03,200,4,48,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
keras_5_28800.h5,27.96299171447754,5.288004497700537,89.9171209335327,2022/06/14 00:01:54,2020-12-17,2021-01-03,200,4,48,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,58009.92578125,240.85250298781003,46.84717559814453,2022/06/14 00:02:41,2020-12-17,2021-01-03,200,4,48,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
keras_4_58598.h5,21.031265258789066,4.585987693923782,134.90789985656738,2022/06/14 00:04:56,2020-12-17,2021-01-03,200,4,48,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,58208.69921875,241.26479118699547,63.49330568313599,2022/06/14 00:06:00,2020-12-17,2021-01-03,200,4,48,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,0
keras_5_22058.h5,27.254512786865234,5.22058202422545,176.7426514625549,2022/06/14 00:08:56,2020-12-17,2021-01-03,200,4,48,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,10
rmseBeyond8,54747.42578125,233.98170609635122,30.521417140960693,2022/06/14 00:09:27,2020-12-17,2021-01-03,200,4,56,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
keras_4_62620.h5,21.40165138244629,4.626200663228108,89.12094473838806,2022/06/14 00:10:56,2020-12-17,2021-01-03,200,4,56,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,55022.01953125,234.56772819878773,47.93470191955566,2022/06/14 00:11:44,2020-12-17,2021-01-03,200,4,56,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
keras_4_29972.h5,18.48757553100586,4.299729648433912,134.2227261066437,2022/06/14 00:13:58,2020-12-17,2021-01-03,200,4,56,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,55284.05078125,235.1256054429093,61.44626116752625,2022/06/14 00:15:00,2020-12-17,2021-01-03,200,4,56,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,0
keras_5_04251.h5,25.42682266235352,5.042512716727866,180.0149519443512,2022/06/14 00:18:00,2020-12-17,2021-01-03,200,4,56,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,10
rmseBeyond8,54765.8046875,234.02095307245185,28.858081817626953,2022/06/14 00:18:29,2020-12-17,2021-01-03,200,4,64,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
rmseBeyond8,137.77702331542972,11.737848292469176,89.74316811561584,2022/06/14 00:19:58,2020-12-17,2021-01-03,200,4,64,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,55039.5625,234.60511512248246,46.50074028968811,2022/06/14 00:20:45,2020-12-17,2021-01-03,200,4,64,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
keras_5_59419.h5,31.294910430908203,5.594192624644542,134.80997896194458,2022/06/14 00:23:00,2020-12-17,2021-01-03,200,4,64,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,55300.7734375,235.16116278834502,61.78002715110779,2022/06/14 00:24:02,2020-12-17,2021-01-03,200,4,64,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,0
keras_5_05761.h5,25.57965660095215,5.057618173859527,180.70327925682068,2022/06/14 00:27:02,2020-12-17,2021-01-03,200,4,64,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,10
rmseBeyond8,54748.5625,233.98411519561253,31.71776270866394,2022/06/14 00:27:34,2020-12-17,2021-01-03,200,4,72,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
keras_7_62775.h5,58.182411193847656,7.627752083962313,90.32680797576904,2022/06/14 00:29:04,2020-12-17,2021-01-03,200,4,72,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,55023.07421875,234.56998483177887,47.226292371749885,2022/06/14 00:29:52,2020-12-17,2021-01-03,200,4,72,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
rmseBeyond8,260.43618774414057,16.138056152585932,134.32570052146912,2022/06/14 00:32:06,2020-12-17,2021-01-03,200,4,72,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,55285.0546875,235.12770960807075,60.303013563156135,2022/06/14 00:33:06,2020-12-17,2021-01-03,200,4,72,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,0
rmseBeyond8,74.1183853149414,8.609199757910552,178.03108048439026,2022/06/14 00:36:04,2020-12-17,2021-01-03,200,4,72,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,10
rmseBeyond8,3427.735107421875,58.546895051815106,32.159814834594734,2022/06/14 00:36:37,2020-12-17,2021-01-03,200,8,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
keras_5_30854.h5,28.18066024780273,5.308544616984122,89.80004620552063,2022/06/14 00:38:06,2020-12-17,2021-01-03,200,8,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,3145.99755859375,56.08916413750211,43.10615015029907,2022/06/14 00:38:49,2020-12-17,2021-01-03,200,8,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
keras_5_86407.h5,34.38745880126953,5.864073517473867,135.3887050151825,2022/06/14 00:41:05,2020-12-17,2021-01-03,200,8,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,3125.390625,55.905223405351066,62.96731185913086,2022/06/14 00:42:08,2020-12-17,2021-01-03,200,8,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,0
keras_5_20877.h5,27.13130187988281,5.208774873007297,176.83630514144897,2022/06/14 00:45:05,2020-12-17,2021-01-03,200,8,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,4000,0,10
