modelName,score,rmse,spendTime,executionTime(s),startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size,machine,runProcess
rmseBeyond8,76.47688293457031,8.745105287702463,87.90599513053894,2022/06/19 20:15:17,2021-01-03,2021-01-17,200,31,40,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,207.22769165039062,14.3953992972034,89.28087186813354,2022/06/19 20:16:50,2021-01-03,2021-01-17,200,42,104,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,83.0134506225586,9.111173451369057,87.2567310333252,2022/06/19 20:18:21,2021-01-03,2021-01-17,200,86,9,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,448.37890625,21.174956968126125,89.79893589019775,2022/06/19 20:19:55,2021-01-03,2021-01-17,200,115,55,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,289.703857421875,17.020711070521493,87.30401468276978,2022/06/19 20:21:26,2021-01-03,2021-01-17,200,6,98,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,180.31784057617188,13.428249705465536,90.84812998771669,2022/06/19 20:23:01,2021-01-03,2021-01-17,200,126,66,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,1315.1397705078125,36.26485802407166,89.53640055656433,2022/06/19 20:24:34,2021-01-03,2021-01-17,200,55,88,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
keras_6_78202.h5,45.99584197998047,6.782023507628929,86.67793488502502,2022/06/19 20:26:05,2021-01-03,2021-01-17,200,72,10,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,261.96304321289057,16.185275957980302,88.23910546302795,2022/06/19 20:27:37,2021-01-17,2021-01-31,200,72,10,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,423.8514709472656,20.58765828739156,88.42161703109741,2022/06/19 20:29:10,2021-01-03,2021-01-17,200,35,111,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
