CMDLINE C:\Users\Vivian\anaconda3\python.exe ./package/Step-1_ANN_Two_multiprocess.py
MEM 1.605469 1655380290.0090
MEM 16.914062 1655380290.1182
MEM 27.488281 1655380290.2273
MEM 36.839844 1655380290.3366
MEM 45.726562 1655380290.4464
MEM 58.160156 1655380290.5556
MEM 69.214844 1655380290.6648
MEM 79.152344 1655380290.7742
MEM 82.238281 1655380290.8835
MEM 85.726562 1655380290.9929
MEM 87.660156 1655380291.1026
MEM 92.195312 1655380291.2118
MEM 102.515625 1655380291.3210
MEM 109.824219 1655380291.4304
MEM 118.414062 1655380291.5397
MEM 111.335938 1655380291.6491
