CMDLINE C:\Users\Vivian\anaconda3\python.exe ./package/Step-1_ANN_Two_multiprocess.py
MEM 1.605469 1655379825.6808
MEM 18.441406 1655379825.7899
MEM 27.929688 1655379825.8992
MEM 37.234375 1655379826.0085
MEM 46.101562 1655379826.1179
MEM 59.085938 1655379826.2272
MEM 69.550781 1655379826.3367
MEM 79.246094 1655379826.4460
MEM 82.671875 1655379826.5554
MEM 86.492188 1655379826.6648
MEM 88.210938 1655379826.7741
MEM 92.476562 1655379826.8835
MEM 103.644531 1655379826.9929
MEM 110.453125 1655379827.1024
MEM 120.718750 1655379827.2116
