CMDLINE C:\Users\Vivian\anaconda3\python.exe ./package/Step-1_ANN_Two_multiprocess.py
MEM 1.601562 1655379620.6337
MEM 16.652344 1655379620.7429
MEM 27.425781 1655379620.8522
MEM 36.972656 1655379620.9616
MEM 45.410156 1655379621.0710
MEM 59.566406 1655379621.1807
MEM 69.824219 1655379621.2898
MEM 79.320312 1655379621.3991
MEM 82.558594 1655379621.5085
MEM 86.234375 1655379621.6178
MEM 87.843750 1655379621.7276
MEM 92.699219 1655379621.8368
MEM 102.968750 1655379621.9460
MEM 110.222656 1655379622.0554
MEM 119.390625 1655379622.1648
