CMDLINE C:\Users\Vivian\anaconda3\python.exe ./package/Step-1_ANN_Two_multiprocess.py
MEM 1.605469 1655380494.1807
MEM 16.976562 1655380494.2898
MEM 27.527344 1655380494.3992
MEM 36.761719 1655380494.5085
MEM 45.523438 1655380494.6179
MEM 58.218750 1655380494.7275
MEM 69.015625 1655380494.8366
MEM 79.164062 1655380494.9460
MEM 82.195312 1655380495.0556
MEM 85.175781 1655380495.1648
MEM 87.898438 1655380495.2837
MEM 91.785156 1655380495.3837
MEM 102.710938 1655380495.4929
MEM 109.835938 1655380495.6023
MEM 119.027344 1655380495.7116
MEM 108.734375 1655380495.8212
