PublishDate,Sentence,Score
2018-01-08T07:02:00.000Z,台玻 (1802) 今年受惠平板玻璃去產能、毛利較高的光伏玻璃需求增加，法人預期，營運成績表現將優於去年同期，台玻股價以22.75元作收，上漲2.7%，冠軍 (1806) 跟漲1.8%，玻璃類股漲幅居次。,7
2018-01-11T07:12:00.000Z,傳產股方面，鋼鐵股受惠報價看漲、大陸冬季限產等利多持續火熱，中鋼構 (2013) 、新鋼 (2032) 、佳大 (2033) 、海光 (2038) 盤中漲停表現相對搶眼；台塑四寶去年獲利交出豐收大驚喜，台化 (1326) 以9.3元勇奪EPS冠軍激勵股價走高，其餘三寶則呈現利多出盡走勢。,10
