PublishDate,Score
2018-03-01,48
2018-03-02,-22
2018-03-03,0
2018-03-04,0
2018-03-05,54
2018-03-06,62
2018-03-07,49
2018-03-08,118
2018-03-09,65
2018-03-10,20
2018-03-11,12
2018-03-12,146
2018-03-13,137
2018-03-14,22
2018-03-15,23
2018-03-16,31
2018-03-17,0
2018-03-18,0
2018-03-19,84
2018-03-20,52
2018-03-21,20
2018-03-22,19
2018-03-23,-59
2018-03-24,0
2018-03-25,0
2018-03-26,65
2018-03-27,104
2018-03-28,-21
2018-03-29,-68
2018-03-30,222
2018-03-31,34
