PublishDate,Score
2018-07-01,0
2018-07-02,192
2018-07-03,80
2018-07-04,-104
2018-07-05,-50
2018-07-06,0
2018-07-07,0
2018-07-08,0
2018-07-09,0
2018-07-10,0
2018-07-11,0
2018-07-12,0
2018-07-13,88
2018-07-14,84
2018-07-15,9
2018-07-16,126
2018-07-17,-38
2018-07-18,113
2018-07-19,17
2018-07-20,239
2018-07-21,60
2018-07-22,29
2018-07-23,116
2018-07-24,110
2018-07-25,34
2018-07-26,169
2018-07-27,104
2018-07-28,0
2018-07-29,0
2018-07-30,-11
2018-07-31,102
