date,close,predictedValue
2017-01-03,183.0,183.0
2017-01-04,183.5,183.5
2017-01-05,184.0,184.0
2017-01-08,184.0,184.0
2017-01-09,184.0,184.0
2017-01-10,182.0,182.0
2017-01-11,184.5,184.5
2017-01-12,181.5,181.5
2017-01-15,179.5,179.5
2017-01-16,181.0,181.0
2017-01-17,181.0,181.0
2017-01-18,180.5,180.5
2017-01-19,181.0,181.0
2017-01-22,185.0,185.0
2017-01-23,185.5,185.5
2017-02-01,184.5,184.5
2017-02-02,184.5,184.5
2017-02-05,184.5,184.5
2017-02-06,184.5,184.5
2017-02-07,183.5,183.5
2017-02-08,184.0,184.0
2017-02-09,185.5,185.5
2017-02-12,187.5,187.5
2017-02-13,187.5,187.5
2017-02-14,189.0,189.0
2017-02-15,189.0,189.0
2017-02-16,189.5,189.5
2017-02-17,189.5,189.5
2017-02-19,190.0,190.0
2017-02-20,190.0,190.0
2017-02-21,188.5,188.5
2017-02-22,188.5,188.5
2017-02-23,189.0,189.0
2017-02-28,186.0,186.0
2017-03-01,186.0,186.0
2017-03-02,184.0,184.0
2017-03-05,183.5,183.5
2017-03-06,185.5,185.5
2017-03-07,187.0,187.0
2017-03-08,184.5,184.5
2017-03-09,183.5,183.5
2017-03-12,186.5,186.5
2017-03-13,186.0,186.0
2017-03-14,186.5,186.5
2017-03-15,190.0,190.0
2017-03-16,191.5,191.5
2017-03-19,191.5,191.5
2017-03-20,195.0,195.0
2017-03-21,193.5,193.5
2017-03-22,193.5,193.5
2017-03-23,192.5,192.5
2017-03-26,193.0,193.0
2017-03-27,194.5,194.5
2017-03-28,191.5,191.5
2017-03-29,191.5,191.5
2017-03-30,189.0,189.0
2017-04-04,193.0,193.0
2017-04-05,191.5,191.5
2017-04-06,191.0,191.0
2017-04-09,190.0,190.0
2017-04-10,191.0,191.0
2017-04-11,191.0,191.0
2017-04-12,191.5,191.5
2017-04-13,189.0,189.0
2017-04-16,187.5,187.5
2017-04-17,188.0,188.0
2017-04-18,186.5,186.5
2017-04-19,187.0,187.0
2017-04-20,190.0,190.0
2017-04-23,190.0,190.0
2017-04-24,192.0,192.0
2017-04-25,191.0,191.0
2017-04-26,193.0,193.0
2017-04-27,194.5,194.5
2017-05-01,196.5,196.5
2017-05-02,198.0,198.0
2017-05-03,198.0,198.0
2017-05-04,197.5,197.5
2017-05-07,202.5,202.5
2017-05-08,203.5,203.5
2017-05-09,205.5,205.5
2017-05-10,207.5,207.5
2017-05-11,206.0,206.0
2017-05-14,206.0,206.0
2017-05-15,204.5,204.5
2017-05-16,204.0,204.0
2017-05-17,203.5,203.5
2017-05-18,203.0,203.0
2017-05-21,205.0,205.0
2017-05-22,205.0,205.0
2017-05-23,205.5,205.5
2017-05-24,207.0,207.0
2017-05-25,207.0,207.0
2017-05-30,203.0,203.0
2017-05-31,207.0,207.0
2017-06-01,209.0,209.0
2017-06-02,209.0,209.0
2017-06-04,212.0,212.0
2017-06-05,210.5,210.5
2017-06-06,211.5,211.5
2017-06-07,213.0,213.0
2017-06-08,212.0,212.0
2017-06-11,207.5,207.5
2017-06-12,208.0,208.0
2017-06-13,207.0,207.0
2017-06-14,208.0,208.0
2017-06-15,211.5,211.5
2017-06-18,213.0,213.0
2017-06-19,216.5,216.5
2017-06-20,215.5,215.5
2017-06-21,218.0,218.0
2017-06-22,217.0,217.0
2017-06-25,215.0,215.0
2017-06-26,211.5,211.5
2017-06-27,208.5,208.5
2017-06-28,210.0,210.0
2017-06-29,208.5,208.5
2017-07-02,209.0,209.0
2017-07-03,207.0,207.0
2017-07-04,208.5,208.5
2017-07-05,207.5,207.5
2017-07-06,206.0,206.0
2017-07-09,206.0,206.0
2017-07-10,212.0,212.0
2017-07-11,210.5,210.5
2017-07-12,214.5,214.5
2017-07-13,213.0,213.0
2017-07-16,213.0,213.0
2017-07-17,214.0,214.0
2017-07-18,214.5,214.5
2017-07-19,215.5,215.5
2017-07-20,214.0,214.0
2017-07-23,214.5,214.5
2017-07-24,214.0,214.0
2017-07-25,213.0,213.0
2017-07-26,215.5,215.5
2017-07-27,213.0,213.0
2017-07-30,214.5,214.5
2017-07-31,212.0,212.0
2017-08-01,216.0,216.0
2017-08-02,213.5,213.5
2017-08-03,213.0,213.0
2017-08-06,216.0,216.0
2017-08-07,217.5,217.5
2017-08-08,214.5,214.5
2017-08-09,214.0,214.0
2017-08-10,212.5,212.5
2017-08-13,211.0,211.0
2017-08-14,214.0,214.0
2017-08-15,213.0,213.0
2017-08-16,214.0,214.0
2017-08-17,212.5,212.5
2017-08-20,211.5,211.5
2017-08-21,214.5,214.5
2017-08-22,215.5,215.5
2017-08-23,217.0,217.0
2017-08-24,217.5,217.5
2017-08-27,216.0,216.0
2017-08-28,216.0,216.0
2017-08-29,217.5,217.5
2017-08-30,216.5,216.5
2017-08-31,216.5,216.5
2017-09-03,217.5,217.5
2017-09-04,218.0,218.0
2017-09-05,217.0,217.0
2017-09-06,217.0,217.0
2017-09-07,218.0,218.0
2017-09-10,217.0,217.0
2017-09-11,219.0,219.0
2017-09-12,218.0,218.0
2017-09-13,218.5,218.5
2017-09-14,218.5,218.5
2017-09-17,219.5,219.5
2017-09-18,221.5,221.5
2017-09-19,221.5,221.5
2017-09-20,221.0,221.0
2017-09-21,218.5,218.5
2017-09-24,217.0,217.0
2017-09-25,214.0,214.0
2017-09-26,215.0,215.0
2017-09-27,214.0,214.0
2017-09-28,216.5,216.5
2017-09-29,216.5,216.5
2017-10-01,220.5,220.5
2017-10-02,222.5,222.5
2017-10-04,224.5,224.5
2017-10-05,224.5,224.5
2017-10-10,233.0,233.0
2017-10-11,237.5,237.5
2017-10-12,237.5,237.5
2017-10-15,238.0,238.0
2017-10-16,235.5,235.5
2017-10-17,237.5,237.5
2017-10-18,239.0,239.0
2017-10-19,237.5,237.5
2017-10-22,239.0,239.0
2017-10-23,238.0,238.0
2017-10-24,238.0,238.0
2017-10-25,236.0,236.0
2017-10-26,239.0,239.0
2017-10-29,243.0,243.0
2017-10-30,243.0,243.0
2017-10-31,242.5,242.5
2017-11-01,241.0,241.0
2017-11-02,239.0,239.0
2017-11-05,239.5,239.5
2017-11-06,244.0,244.0
2017-11-07,242.5,242.5
2017-11-08,241.0,241.0
2017-11-09,240.5,240.5
2017-11-12,239.5,239.5
2017-11-13,240.0,240.0
2017-11-14,237.5,237.5
2017-11-15,238.0,238.0
2017-11-16,241.5,241.5
2017-11-19,238.5,238.5
2017-11-20,243.0,243.0
2017-11-21,242.0,242.0
2017-11-22,242.5,242.5
2017-11-23,244.0,244.0
2017-11-26,237.0,237.0
2017-11-27,234.0,234.0
2017-11-28,234.5,234.5
2017-11-29,226.0,226.0
2017-11-30,231.0,231.0
2017-12-03,234.0,234.0
2017-12-04,229.5,229.5
2017-12-05,227.0,227.0
2017-12-06,226.5,226.5
2017-12-07,227.0,227.0
2017-12-10,227.5,227.5
2017-12-11,227.5,227.5
2017-12-12,227.0,227.0
2017-12-13,230.5,230.5
2017-12-14,230.0,230.0
2017-12-17,227.0,227.0
2017-12-18,225.0,225.0
2017-12-19,224.5,224.5
2017-12-20,225.0,225.0
2017-12-21,227.5,227.5
2017-12-24,228.5,228.5
2017-12-25,226.0,226.0
2017-12-26,225.0,225.0
2017-12-27,226.0,226.0
2017-12-28,229.5,229.5
2018-01-01,232.5,232.5
2018-01-02,237.0,237.0
2018-01-03,239.5,239.5
2018-01-04,240.0,240.0
2018-01-07,242.0,242.0
2018-01-08,242.0,242.0
2018-01-09,236.5,236.5
2018-01-10,235.0,235.0
2018-01-11,237.0,237.0
2018-01-14,240.0,240.0
2018-01-15,240.5,240.5
2018-01-16,242.0,242.0
2018-01-17,248.5,248.5
2018-01-18,255.5,255.5
2018-01-21,261.5,261.5
2018-01-22,266.0,266.0
2018-01-23,258.0,258.0
2018-01-24,258.0,258.0
2018-01-25,255.0,255.0
2018-01-28,258.5,258.5
2018-01-29,253.0,253.0
2018-01-30,255.0,255.0
2018-01-31,259.5,259.5
2018-02-01,259.5,259.5
2018-02-04,253.0,253.0
2018-02-05,239.0,239.0
2018-02-06,240.0,240.0
2018-02-07,238.5,238.5
